status	sequence_num	event_type	gate	decision	resumed_from
EXECUTED	0	TRANSACTION_STARTED			
EXECUTED	1	GATE_EVALUATED	idempotency	allow	
EXECUTED	2	GATE_EVALUATED	allow	allow	
EXECUTED	3	TOOL_EXECUTED			
EXECUTED	4	TRANSACTION_COMPLETED			
REPLAYED	0	TRANSACTION_STARTED			
REPLAYED	1	GATE_EVALUATED	idempotency	allow	
REPLAYED	2	GATE_EVALUATED	allow	allow	
REPLAYED	3	IDEMPOTENCY_HIT			
PENDING_APPROVAL	0	TRANSACTION_STARTED			
PENDING_APPROVAL	1	GATE_EVALUATED	policy	require_approval	
PENDING_APPROVAL	2	APPROVAL_REQUESTED			
EXECUTED	0	TRANSACTION_STARTED			d4ca1f38-80e8-422a-9a07-453f99c433a9
EXECUTED	1	TOOL_EXECUTED			
EXECUTED	2	TRANSACTION_COMPLETED			d4ca1f38-80e8-422a-9a07-453f99c433a9
PENDING_APPROVAL	0	TRANSACTION_STARTED			
PENDING_APPROVAL	1	GATE_EVALUATED	policy	require_approval	
PENDING_APPROVAL	2	APPROVAL_REQUESTED			
EXECUTED	0	TRANSACTION_STARTED			80508beb-afea-4201-864d-8bb6809d58fe
EXECUTED	1	TOOL_EXECUTED			
EXECUTED	2	TRANSACTION_COMPLETED			80508beb-afea-4201-864d-8bb6809d58fe
(21 rows)
